REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Region 1,2002,1,179,71,15045
Region 2,2002,1,192,51,10200
Region 3,2002,1,184,36,7439
Region 4,2002,1,319,136,23277
Region 5,2002,1,753,171,32441
Region 6,2002,1,15,56,7431
Region 7,2002,1,71,53,6667
Region 8,2002,1,183,54,11063
Region 9,2002,1,631,77,17225
Region 10,2002,1,41,23,1486
Region 1,2002,2,219,72,17824
Region 2,2002,2,249,53,13794
Region 3,2002,2,142,36,8793
Region 4,2002,2,500,135,36617
Region 5,2002,2,655,166,40184
Region 6,2002,2,39,62,8639
Region 7,2002,2,120,54,9354
Region 8,2002,2,263,57,13767
Region 9,2002,2,658,84,20650
Region 10,2002,2,30,23,2125
Region 1,2002,3,220,70,17037
Region 2,2002,3,347,51,13288
Region 3,2002,3,267,35,8800
Region 4,2002,3,795,144,40382
Region 5,2002,3,752,171,43111
Region 6,2002,3,146,59,9834
Region 7,2002,3,122,56,10151
Region 8,2002,3,405,59,15867
Region 9,2002,3,638,81,20528
Region 10,2002,3,51,23,1971
Region 1,2002,4,297,70,18502
Region 2,2002,4,747,53,14824
Region 3,2002,4,324,36,9096
Region 4,2002,4,881,136,32075
Region 5,2002,4,962,169,41403
Region 6,2002,4,130,60,10610
Region 7,2002,4,269,58,10556
Region 8,2002,4,416,49,11426
Region 9,2002,4,722,73,16424
Region 10,2002,4,49,24,2052
Region 1,2002,5,519,71,20206
Region 2,2002,5,692,52,16852
Region 3,2002,5,380,33,9059
Region 4,2002,5,916,133,42243
Region 5,2002,5,1059,165,43742
Region 6,2002,5,249,58,10108
Region 7,2002,5,325,57,9663
Region 8,2002,5,537,55,14512
Region 9,2002,5,846,83,19976
Region 10,2002,5,34,22,2070
Region 1,2002,6,509,70,20271
Region 2,2002,6,400,49,16321
Region 3,2002,6,353,36,9713
Region 4,2002,6,956,141,41139
Region 5,2002,6,1327,169,47143
Region 6,2002,6,183,59,10859
Region 7,2002,6,400,58,11577
Region 8,2002,6,517,51,13592
Region 9,2002,6,906,74,19433
Region 10,2002,6,73,21,1991
Region 1,2002,7,552,67,19247
Region 2,2002,7,311,47,14151
Region 3,2002,7,317,35,9112
Region 4,2002,7,946,135,39272
Region 5,2002,7,1620,169,46156
Region 6,2002,7,229,56,9984
Region 7,2002,7,469,58,11732
Region 8,2002,7,334,50,13776
Region 9,2002,7,1031,74,21748
Region 10,2002,7,115,21,2064
Region 1,2002,8,405,67,17142
Region 2,2002,8,290,49,14403
Region 3,2002,8,287,34,9087
Region 4,2002,8,1029,139,43389
Region 5,2002,8,1698,161,44923
Region 6,2002,8,213,55,9602
Region 7,2002,8,356,56,11249
Region 8,2002,8,282,55,12398
Region 9,2002,8,1144,72,20416
Region 10,2002,8,56,20,1935
Region 1,2002,9,304,65,17787
Region 2,2002,9,237,48,15512
Region 3,2002,9,351,33,9244
Region 4,2002,9,980,144,44965
Region 5,2002,9,1544,166,43607
Region 6,2002,9,206,51,9389
Region 7,2002,9,296,56,10544
Region 8,2002,9,246,55,12645
Region 9,2002,9,899,68,20788
Region 10,2002,9,41,21,2127
Region 1,2002,10,157,64,17637
Region 2,2002,10,222,45,14778
Region 3,2002,10,251,30,7597
Region 4,2002,10,489,120,33685
Region 5,2002,10,1073,161,41415
Region 6,2002,10,117,58,9132
Region 7,2002,10,262,53,10211
Region 8,2002,10,171,51,11141
Region 9,2002,10,839,73,21259
Region 10,2002,10,50,19,1792
Region 1,2002,11,126,63,16513
Region 2,2002,11,298,44,14242
Region 3,2002,11,252,31,8631
Region 4,2002,11,359,114,29771
Region 5,2002,11,801,153,36732
Region 6,2002,11,114,53,8203
Region 7,2002,11,157,54,9192
Region 8,2002,11,164,56,10789
Region 9,2002,11,660,66,19197
Region 10,2002,11,46,18,1672
Region 1,2002,12,115,62,15079
Region 2,2002,12,215,44,13543
Region 3,2002,12,217,29,7382
Region 4,2002,12,289,112,33644
Region 5,2002,12,760,150,36029
Region 6,2002,12,42,48,6258
Region 7,2002,12,129,54,8775
Region 8,2002,12,42,37,7135
Region 9,2002,12,561,64,19071
Region 10,2002,12,47,17,1611
Region 1,2002,13,101,58,15488
Region 2,2002,13,135,39,12489
Region 3,2002,13,155,27,6883
Region 4,2002,13,187,109,30693
Region 5,2002,13,670,140,34114
Region 6,2002,13,14,35,5088
Region 7,2002,13,81,54,8382
Region 8,2002,13,46,43,9655
Region 9,2002,13,616,62,17975
Region 10,2002,13,74,15,1456
Region 1,2002,14,113,55,15078
Region 2,2002,14,118,38,12214
Region 3,2002,14,158,26,6988
Region 4,2002,14,200,106,28765
Region 5,2002,14,533,140,34976
Region 6,2002,14,18,48,7249
Region 7,2002,14,110,54,9072
Region 8,2002,14,50,38,8808
Region 9,2002,14,319,54,13838
Region 10,2002,14,36,16,1657
Region 1,2002,15,79,57,14817
Region 2,2002,15,63,35,10290
Region 3,2002,15,146,27,7522
Region 4,2002,15,87,102,25046
Region 5,2002,15,365,136,36742
Region 6,2002,15,49,41,5665
Region 7,2002,15,91,54,9495
Region 8,2002,15,32,34,6739
Region 9,2002,15,244,51,12925
Region 10,2002,15,13,14,1313
Region 1,2002,16,98,58,14199
Region 2,2002,16,56,34,10292
Region 3,2002,16,105,25,7308
Region 4,2002,16,89,101,23915
Region 5,2002,16,303,135,35019
Region 6,2002,16,3,24,4461
Region 7,2002,16,87,51,9114
Region 8,2002,16,30,33,6874
Region 9,2002,16,237,51,12107
Region 10,2002,16,10,11,1176
Region 1,2002,17,52,56,14321
Region 2,2002,17,44,33,10692
Region 3,2002,17,89,22,6029
Region 4,2002,17,110,96,22991
Region 5,2002,17,214,128,31445
Region 6,2002,17,0,23,4331
Region 7,2002,17,71,54,9109
Region 8,2002,17,17,32,4525
Region 9,2002,17,228,50,13129
Region 10,2002,17,5,10,1009
Region 1,2002,18,27,53,13040
Region 2,2002,18,34,30,9997
Region 3,2002,18,90,22,5923
Region 4,2002,18,49,91,20682
Region 5,2002,18,158,124,31477
Region 6,2002,18,0,23,4290
Region 7,2002,18,66,49,8386
Region 8,2002,18,23,30,3922
Region 9,2002,18,225,42,11026
Region 10,2002,18,0,11,1202
Region 1,2002,19,28,51,12989
Region 2,2002,19,34,28,9271
Region 3,2002,19,72,20,5437
Region 4,2002,19,84,92,21043
Region 5,2002,19,178,120,30885
Region 6,2002,19,0,23,4094
Region 7,2002,19,57,46,8278
Region 8,2002,19,26,29,3784
Region 9,2002,19,191,39,9883
Region 10,2002,19,3,10,1056
Region 1,2002,20,31,50,11975
Region 2,2002,20,29,29,9002
Region 3,2002,20,59,21,5637
Region 4,2002,20,44,88,18033
Region 5,2002,20,117,113,27943
Region 6,2002,20,0,23,4009
Region 7,2002,20,65,47,8165
Region 8,2002,20,27,28,3646
Region 9,2002,20,202,40,11029
Region 10,2002,20,2,10,983
Region 1,2002,21,0,0,0
Region 2,2002,21,0,0,0
Region 3,2002,21,0,0,0
Region 4,2002,21,0,0,0
Region 5,2002,21,0,0,0
Region 6,2002,21,0,0,0
Region 7,2002,21,0,0,0
Region 8,2002,21,0,0,0
Region 9,2002,21,0,0,0
Region 10,2002,21,0,0,0
Region 1,2002,22,0,0,0
Region 2,2002,22,0,0,0
Region 3,2002,22,0,0,0
Region 4,2002,22,0,0,0
Region 5,2002,22,0,0,0
Region 6,2002,22,0,0,0
Region 7,2002,22,0,0,0
Region 8,2002,22,0,0,0
Region 9,2002,22,0,0,0
Region 10,2002,22,0,0,0
Region 1,2002,23,0,0,0
Region 2,2002,23,0,0,0
Region 3,2002,23,0,0,0
Region 4,2002,23,0,0,0
Region 5,2002,23,0,0,0
Region 6,2002,23,0,0,0
Region 7,2002,23,0,0,0
Region 8,2002,23,0,0,0
Region 9,2002,23,0,0,0
Region 10,2002,23,0,0,0
Region 1,2002,24,0,0,0
Region 2,2002,24,0,0,0
Region 3,2002,24,0,0,0
Region 4,2002,24,0,0,0
Region 5,2002,24,0,0,0
Region 6,2002,24,0,0,0
Region 7,2002,24,0,0,0
Region 8,2002,24,0,0,0
Region 9,2002,24,0,0,0
Region 10,2002,24,0,0,0
Region 1,2002,25,0,0,0
Region 2,2002,25,0,0,0
Region 3,2002,25,0,0,0
Region 4,2002,25,0,0,0
Region 5,2002,25,0,0,0
Region 6,2002,25,0,0,0
Region 7,2002,25,0,0,0
Region 8,2002,25,0,0,0
Region 9,2002,25,0,0,0
Region 10,2002,25,0,0,0
Region 1,2002,26,0,0,0
Region 2,2002,26,0,0,0
Region 3,2002,26,0,0,0
Region 4,2002,26,0,0,0
Region 5,2002,26,0,0,0
Region 6,2002,26,0,0,0
Region 7,2002,26,0,0,0
Region 8,2002,26,0,0,0
Region 9,2002,26,0,0,0
Region 10,2002,26,0,0,0
Region 1,2002,27,0,0,0
Region 2,2002,27,0,0,0
Region 3,2002,27,0,0,0
Region 4,2002,27,0,0,0
Region 5,2002,27,0,0,0
Region 6,2002,27,0,0,0
Region 7,2002,27,0,0,0
Region 8,2002,27,0,0,0
Region 9,2002,27,0,0,0
Region 10,2002,27,0,0,0
Region 1,2002,28,0,0,0
Region 2,2002,28,0,0,0
Region 3,2002,28,0,0,0
Region 4,2002,28,0,0,0
Region 5,2002,28,0,0,0
Region 6,2002,28,0,0,0
Region 7,2002,28,0,0,0
Region 8,2002,28,0,0,0
Region 9,2002,28,0,0,0
Region 10,2002,28,0,0,0
Region 1,2002,29,0,0,0
Region 2,2002,29,0,0,0
Region 3,2002,29,0,0,0
Region 4,2002,29,0,0,0
Region 5,2002,29,0,0,0
Region 6,2002,29,0,0,0
Region 7,2002,29,0,0,0
Region 8,2002,29,0,0,0
Region 9,2002,29,0,0,0
Region 10,2002,29,0,0,0
Region 1,2002,30,0,0,0
Region 2,2002,30,0,0,0
Region 3,2002,30,0,0,0
Region 4,2002,30,0,0,0
Region 5,2002,30,0,0,0
Region 6,2002,30,0,0,0
Region 7,2002,30,0,0,0
Region 8,2002,30,0,0,0
Region 9,2002,30,0,0,0
Region 10,2002,30,0,0,0
Region 1,2002,31,0,0,0
Region 2,2002,31,0,0,0
Region 3,2002,31,0,0,0
Region 4,2002,31,0,0,0
Region 5,2002,31,0,0,0
Region 6,2002,31,0,0,0
Region 7,2002,31,0,0,0
Region 8,2002,31,0,0,0
Region 9,2002,31,0,0,0
Region 10,2002,31,0,0,0
Region 1,2002,32,0,0,0
Region 2,2002,32,0,0,0
Region 3,2002,32,0,0,0
Region 4,2002,32,0,0,0
Region 5,2002,32,0,0,0
Region 6,2002,32,0,0,0
Region 7,2002,32,0,0,0
Region 8,2002,32,0,0,0
Region 9,2002,32,0,0,0
Region 10,2002,32,0,0,0
