REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Region 1,2010,1,276,138,31688
Region 2,2010,1,2342,188,109987
Region 3,2010,1,2114,225,97052
Region 4,2010,1,3052,440,145117
Region 5,2010,1,1314,248,82375
Region 6,2010,1,2278,203,77398
Region 7,2010,1,418,118,23420
Region 8,2010,1,591,135,60564
Region 9,2010,1,1721,243,78444
Region 10,2010,1,193,58,15093
Region 1,2010,2,235,143,33169
Region 2,2010,2,2270,189,110831
Region 3,2010,2,1856,227,99946
Region 4,2010,2,3124,437,160720
Region 5,2010,2,1239,252,88648
Region 6,2010,2,2614,206,82863
Region 7,2010,2,360,124,30523
Region 8,2010,2,445,134,57809
Region 9,2010,2,1776,254,93100
Region 10,2010,2,169,50,13286
Region 1,2010,3,278,146,34664
Region 2,2010,3,2432,193,113936
Region 3,2010,3,1811,226,99992
Region 4,2010,3,3525,447,159842
Region 5,2010,3,1326,267,92043
Region 6,2010,3,2463,201,81261
Region 7,2010,3,471,127,30925
Region 8,2010,3,691,137,59644
Region 9,2010,3,1582,257,80507
Region 10,2010,3,178,52,13363
Region 1,2010,4,302,143,37360
Region 2,2010,4,2072,186,110062
Region 3,2010,4,2010,231,100622
Region 4,2010,4,3459,442,164945
Region 5,2010,4,1319,262,92359
Region 6,2010,4,2331,196,78330
Region 7,2010,4,443,122,30222
Region 8,2010,4,883,137,64861
Region 9,2010,4,2046,255,93196
Region 10,2010,4,257,52,13623
Region 1,2010,5,352,142,37486
Region 2,2010,5,2204,184,110813
Region 3,2010,5,1734,219,92016
Region 4,2010,5,3728,445,154518
Region 5,2010,5,1441,264,94006
Region 6,2010,5,2744,187,74874
Region 7,2010,5,682,125,32503
Region 8,2010,5,763,132,63368
Region 9,2010,5,2162,250,95328
Region 10,2010,5,227,48,12861
Region 1,2010,6,327,142,35666
Region 2,2010,6,2205,182,107943
Region 3,2010,6,1424,223,85752
Region 4,2010,6,3651,441,161400
Region 5,2010,6,1493,256,90323
Region 6,2010,6,2323,192,78298
Region 7,2010,6,691,124,32135
Region 8,2010,6,792,131,64601
Region 9,2010,6,2246,236,85527
Region 10,2010,6,229,50,14423
Region 1,2010,7,366,140,33173
Region 2,2010,7,2029,187,109869
Region 3,2010,7,1470,220,95820
Region 4,2010,7,3846,442,163523
Region 5,2010,7,1407,252,90474
Region 6,2010,7,2741,180,85233
Region 7,2010,7,707,124,32830
Region 8,2010,7,645,114,56396
Region 9,2010,7,1567,245,81904
