REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Alabama,2010,40,249,35,11664
Alaska,2010,40,15,7,1714
Arizona,2010,40,172,49,25492
Arkansas,2010,40,18,15,2586
California,2010,40,632,112,32342
Colorado,2010,40,134,14,20282
Connecticut,2010,40,3,12,3831
Delaware,2010,40,4,13,3995
District of Columbia,2010,40,73,4,2599
Florida,2010,40,X,X,X
Georgia,2010,40,647,62,40314
Hawaii,2010,40,20,18,1943
Idaho,2010,40,19,12,4579
Illinois,2010,40,505,74,39390
Indiana,2010,40,65,44,12525
Iowa,2010,40,10,6,1776
Kansas,2010,40,39,40,8819
Kentucky,2010,40,19,14,13293
Louisiana,2010,40,391,41,17141
Maine,2010,40,22,30,6150
Maryland,2010,40,117,17,8869
Massachusetts,2010,40,168,56,27786
Michigan,2010,40,98,47,14587
Minnesota,2010,40,38,17,6611
Mississippi,2010,40,491,42,16874
Missouri,2010,40,106,33,9621
Montana,2010,40,1,7,2694
Nebraska,2010,40,61,13,2773
Nevada,2010,40,175,30,10499
New Hampshire,2010,40,3,21,3951
New Jersey,2010,40,163,23,7040
New Mexico,2010,40,160,23,7505
New York,2010,40,37,91,14069
North Carolina,2010,40,134,74,25215
North Dakota,2010,40,42,19,6256
Ohio,2010,40,29,36,12705
Oklahoma,2010,40,19,17,3044
Oregon,2010,40,37,20,6711
Pennsylvania,2010,40,122,64,17347
Rhode Island,2010,40,15,21,6382
South Carolina,2010,40,33,25,7397
South Dakota,2010,40,63,18,5713
Tennessee,2010,40,32,52,11651
Texas,2010,40,1050,98,50844
Utah,2010,40,43,13,5751
Vermont,2010,40,41,10,2777
Virginia,2010,40,660,81,57721
Washington,2010,40,16,17,3137
West Virginia,2010,40,143,34,8952
Wisconsin,2010,40,23,44,4946
Wyoming,2010,40,32,28,5056
New York City,2010,40,1059,40,89577
Alabama,2010,41,239,31,11602
Alaska,2010,41,19,7,1684
Arizona,2010,41,183,49,24402
Arkansas,2010,41,18,14,2670
California,2010,41,742,122,34469
Colorado,2010,41,115,12,18294
Connecticut,2010,41,9,15,3780
Delaware,2010,41,15,13,4070
District of Columbia,2010,41,81,4,2802
Florida,2010,41,X,X,X
Georgia,2010,41,702,63,40979
Hawaii,2010,41,32,19,1826
Idaho,2010,41,68,12,4664
Illinois,2010,41,600,76,41354
Indiana,2010,41,84,45,12861
Iowa,2010,41,20,7,2323
Kansas,2010,41,49,40,8485
Kentucky,2010,41,23,14,10269
Louisiana,2010,41,325,39,15871
Maine,2010,41,26,29,5979
Maryland,2010,41,99,17,4717
Massachusetts,2010,41,216,54,24328
Michigan,2010,41,95,53,16239
Minnesota,2010,41,35,18,6466
Mississippi,2010,41,523,45,17605
Missouri,2010,41,90,32,9672
Montana,2010,41,5,7,2763
Nebraska,2010,41,68,12,2486
Nevada,2010,41,187,33,11428
New Hampshire,2010,41,4,22,4326
New Jersey,2010,41,189,24,7626
New Mexico,2010,41,142,22,7232
New York,2010,41,47,89,12712
North Carolina,2010,41,141,77,26280
North Dakota,2010,41,43,19,5956
Ohio,2010,41,55,44,15209
Oklahoma,2010,41,29,17,3025
Oregon,2010,41,38,19,6089
Pennsylvania,2010,41,157,64,17239
Rhode Island,2010,41,12,21,5954
South Carolina,2010,41,54,25,7054
South Dakota,2010,41,44,18,5543
Tennessee,2010,41,59,50,11812
Texas,2010,41,1061,97,50670
Utah,2010,41,29,19,7057
Vermont,2010,41,40,10,2946
Virginia,2010,41,754,83,60977
Washington,2010,41,34,16,3269
West Virginia,2010,41,170,34,10694
Wisconsin,2010,41,31,48,5328
Wyoming,2010,41,21,27,4766
New York City,2010,41,1258,41,89710
Alabama,2010,42,232,33,11945
Alaska,2010,42,11,7,1877
Arizona,2010,42,240,52,25174
Arkansas,2010,42,17,16,3306
California,2010,42,766,126,34170
Colorado,2010,42,152,12,18905
Connecticut,2010,42,15,16,4009
Delaware,2010,42,14,14,4154
District of Columbia,2010,42,74,4,3070
Florida,2010,42,X,X,X
Georgia,2010,42,793,62,39404
Hawaii,2010,42,14,19,1854
Idaho,2010,42,64,11,4545
Illinois,2010,42,644,76,41122
Indiana,2010,42,76,45,13006
Iowa,2010,42,10,8,2457
Kansas,2010,42,43,41,8963
Kentucky,2010,42,25,14,16010
Louisiana,2010,42,402,47,16545
Maine,2010,42,27,30,6402
Maryland,2010,42,173,20,11895
Massachusetts,2010,42,209,53,28061
Michigan,2010,42,81,50,15451
Minnesota,2010,42,33,17,6332
Mississippi,2010,42,534,45,17911
Missouri,2010,42,94,32,9496
Montana,2010,42,5,7,2690
Nebraska,2010,42,94,14,2839
Nevada,2010,42,171,34,11335
New Hampshire,2010,42,17,29,5790
New Jersey,2010,42,191,25,8496
New Mexico,2010,42,126,21,7523
New York,2010,42,53,95,14636
North Carolina,2010,42,116,71,25377
