0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,2,0,1,0,0,1,2,0,0,1,4,5,7,6,0,0,1,0,0,0,0,3,0,1,3,4,2,0,0,0,0,1,0,1,0,0,0,0,9,1,1,0,0,1,14,1049
0,1,1,0,1,0,1,5,0,2,2,3,4,21,5,0,0,1,0,0,0,3,17,2,0,0,5,1,0,0,0,1,0,0,0,2,0,0,0,13,0,6,0,0,3,16,879
0,2,0,1,0,0,7,9,0,0,4,3,4,2,0,0,1,2,0,0,4,2,3,1,0,4,9,3,0,0,0,1,1,2,3,0,0,1,1,6,0,19,6,0,6,42,1006
3,0,1,1,0,0,2,2,1,0,6,5,11,4,2,0,1,0,0,0,1,0,5,1,3,0,3,1,0,1,0,0,2,1,0,0,0,0,0,7,3,4,0,7,1,75,936
0,0,0,0,1,1,6,5,0,0,1,13,9,13,0,0,2,0,0,21,2,6,2,1,2,0,4,4,1,0,2,0,0,1,1,0,0,0,1,8,1,15,0,0,1,100,1001
1,0,0,0,6,0,13,1,0,4,5,5,43,15,1,1,3,0,0,9,6,7,3,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,10,1,10,1,1,2,130,689
2,0,0,0,1,0,9,3,1,14,0,2,43,25,0,0,0,0,0,1,10,3,2,0,2,0,6,7,1,0,0,0,3,1,0,0,0,0,0,15,0,29,1,3,24,196,719
0,0,0,0,0,0,13,13,0,5,4,4,27,12,0,0,0,0,2,1,5,4,2,2,1,1,2,2,2,0,0,1,2,0,0,0,0,0,0,11,0,9,0,1,13,166,588
0,0,0,0,3,0,10,5,5,15,6,5,15,23,1,5,0,1,2,2,7,8,3,6,1,4,4,3,5,0,0,1,1,0,0,0,0,1,0,3,0,9,1,1,1,106,429
0,0,0,0,12,0,11,4,0,5,10,21,11,13,0,4,0,0,1,5,6,3,0,2,4,0,5,3,1,0,0,1,0,0,2,0,1,0,1,9,6,6,1,0,1,41,256
3,0,0,0,3,0,0,9,0,0,7,7,17,11,0,2,0,0,0,0,8,4,3,3,6,2,9,3,0,0,0,0,0,0,2,0,0,0,2,8,14,0,0,0,0,10,159
0,0,0,0,1,0,3,4,0,0,12,9,19,12,0,4,3,2,1,1,15,4,1,6,10,0,4,3,0,0,0,0,0,0,1,0,0,0,0,4,3,1,10,0,1,14,105
3,0,0,0,1,0,6,0,0,6,6,14,16,12,0,1,3,0,0,0,18,5,11,6,19,2,6,4,1,0,0,0,0,2,0,0,1,1,2,11,45,0,1,2,1,1,109
23,1,0,1,3,0,8,4,3,5,17,14,20,11,10,2,0,1,2,1,20,12,5,2,4,4,11,5,0,0,0,0,1,3,1,0,1,2,2,3,31,0,6,0,1,1,128
5,0,0,3,4,0,39,6,10,5,52,23,38,19,8,0,0,5,0,2,24,15,10,4,3,3,18,2,1,2,0,3,7,3,3,0,1,5,3,32,44,1,2,0,1,1,128
4,0,3,2,18,7,20,7,16,19,70,48,72,40,5,1,0,12,1,3,28,23,20,4,9,2,15,7,0,0,2,4,4,17,2,2,1,2,1,23,62,2,1,0,0,1,106
19,0,5,7,11,10,26,8,31,12,106,59,100,46,5,2,1,11,0,31,45,41,40,2,7,8,40,8,0,4,1,3,1,47,0,6,1,4,3,23,149,2,0,0,0,4,167
34,0,20,30,13,2,31,3,45,58,117,134,128,89,25,5,0,7,11,43,54,55,54,5,9,15,44,16,9,0,3,7,6,52,3,7,1,1,6,49,167,5,2,24,2,2,128
61,7,58,28,17,2,33,15,72,261,255,263,261,138,78,12,3,5,40,64,91,63,80,5,19,22,93,19,9,0,12,2,13,94,22,13,1,11,17,99,212,29,2,61,5,2,163
197,6,86,58,17,7,67,54,152,673,562,470,467,238,193,24,6,10,123,95,113,156,185,25,50,27,187,39,30,16,17,5,12,197,58,22,2,30,61,250,308,84,40,108,35,7,220
