0,1,2,3,4,5,6,7,8,9
179,192,184,319,753,15,71,183,631,41
219,249,142,500,655,39,120,263,658,30
220,347,267,795,752,146,122,405,638,51
297,747,324,881,962,130,269,416,722,49
519,692,380,916,1059,249,325,537,846,34
509,400,353,956,1327,183,400,517,906,73
552,311,317,946,1620,229,469,334,1031,115
405,290,287,1029,1698,213,356,282,1144,56
304,237,351,980,1544,206,296,246,899,41
157,222,251,489,1073,117,262,171,839,50
126,298,252,359,801,114,157,164,660,46
115,215,217,289,760,42,129,42,561,47
101,135,155,187,670,14,81,46,616,74
113,118,158,200,533,18,110,50,319,36
79,63,146,87,365,49,91,32,244,13
98,56,105,89,303,3,87,30,237,10
52,44,89,110,214,0,71,17,228,5
27,34,90,49,158,0,66,23,225,0
28,34,72,84,178,0,57,26,191,3
31,29,59,44,117,0,65,27,202,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
119,205,128,499,518,13,111,120,345,2
87,335,112,516,603,19,89,103,393,10
75,293,159,493,596,31,106,118,291,14
108,336,163,568,650,46,107,168,441,12
115,329,157,664,728,81,128,225,458,22
104,369,220,702,786,121,165,174,562,22
88,380,188,644,774,88,147,184,576,28
88,342,195,675,685,130,109,205,530,8
110,322,218,573,587,94,86,218,486,15
125,414,202,622,631,106,166,224,541,18
122,326,208,590,686,211,148,258,385,23
132,396,177,682,659,407,208,299,440,16
99,310,180,638,620,143,194,222,441,10
110,269,176,944,695,151,229,229,436,21
109,281,235,841,737,256,213,316,711,30
190,415,213,1010,800,259,286,306,693,32
207,362,339,1462,1315,523,434,436,590,28
288,378,372,2205,1622,394,476,721,609,14
449,428,563,2144,1778,309,362,759,944,46
504,427,602,2045,1538,388,232,894,976,43
395,339,515,2052,1466,131,201,937,1140,52
337,258,441,1202,1094,130,229,770,1109,36
291,137,276,998,877,191,138,692,808,42
249,215,302,726,656,110,129,540,847,36
119,195,246,716,580,71,110,375,545,30
92,161,202,676,368,53,101,324,437,25
75,158,162,518,379,51,89,251,339,6
